id,title,author,text,label
19,Government announces new policy,Anjali Mehta,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
20,Stock market reaches new highs,Vikas Singh,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
21,Miracle cure discovered overnight,,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  A viral post claimed the event happened without providing any evidence.,1
22,Aliens found on Earth secretly,Vikas Singh,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Experts dismissed the rumors as misinformation and fake news.,1
23,New technology improves healthcare,,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
24,New technology improves healthcare,Tech Reporter,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
25,Man travels through time,Internet Rumors,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  The story spread quickly online despite fact-checkers denying the claims.,1
26,Stock market reaches new highs,Internet Rumors,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
27,New technology improves healthcare,Tech Reporter,"verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  The report highlighted improvements in efficiency, security, and accessibility.",0
28,Secret city found under ocean,Anjali Mehta,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Experts dismissed the rumors as misinformation and fake news.,1
29,New technology improves healthcare,Unknown Blogger,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
30,New technology improves healthcare,Unknown Blogger,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
31,Man travels through time,Unknown Blogger,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  No official sources confirmed the shocking statement published online.,1
32,Aliens found on Earth secretly,Unknown Blogger,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Several users shared manipulated images related to the false report.,1
33,Stock market reaches new highs,Unknown Blogger,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Researchers published findings after successful experiments and peer review.,0
34,Man travels through time,Rohit Sharma,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  No official sources confirmed the shocking statement published online.,1
35,Miracle cure discovered overnight,Anjali Mehta,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  A viral post claimed the event happened without providing any evidence.,1
36,New technology improves healthcare,Anjali Mehta,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
37,Secret city found under ocean,Vikas Singh,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  The story spread quickly online despite fact-checkers denying the claims.,1
38,Chocolate gives superpowers,Vikas Singh,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Experts dismissed the rumors as misinformation and fake news.,1
39,New technology improves healthcare,,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Researchers published findings after successful experiments and peer review.,0
40,Education reforms introduced nationwide,Fake Media,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
41,Aliens found on Earth secretly,,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  No official sources confirmed the shocking statement published online.,1
42,Chocolate gives superpowers,Anjali Mehta,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  A viral post claimed the event happened without providing any evidence.,1
43,Stock market reaches new highs,Vikas Singh,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
44,Scientists discover medical breakthrough,Health Desk,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Researchers published findings after successful experiments and peer review.,0
45,Chocolate gives superpowers,Unknown Blogger,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  No official sources confirmed the shocking statement published online.,1
46,Scientists discover medical breakthrough,,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Researchers published findings after successful experiments and peer review.,0
47,Stock market reaches new highs,Rohit Sharma,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
48,Aliens found on Earth secretly,Health Desk,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  No official sources confirmed the shocking statement published online.,1
49,Miracle cure discovered overnight,Vikas Singh,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Several users shared manipulated images related to the false report.,1
50,Government announces new policy,Fake Media,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
51,Miracle cure discovered overnight,Internet Rumors,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  The story spread quickly online despite fact-checkers denying the claims.,1
52,Chocolate gives superpowers,Internet Rumors,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Several users shared manipulated images related to the false report.,1
53,Miracle cure discovered overnight,Fake Media,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Experts dismissed the rumors as misinformation and fake news.,1
54,Education reforms introduced nationwide,Anjali Mehta,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
55,Scientists discover medical breakthrough,Vikas Singh,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Researchers published findings after successful experiments and peer review.,0
56,Stock market reaches new highs,Vikas Singh,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
57,Man travels through time,Fake Media,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Experts dismissed the rumors as misinformation and fake news.,1
58,Man travels through time,Fake Media,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  The story spread quickly online despite fact-checkers denying the claims.,1
59,Miracle cure discovered overnight,Vikas Singh,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  A viral post claimed the event happened without providing any evidence.,1
60,Miracle cure discovered overnight,Unknown Blogger,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  The story spread quickly online despite fact-checkers denying the claims.,1
61,Aliens found on Earth secretly,,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  A viral post claimed the event happened without providing any evidence.,1
62,Miracle cure discovered overnight,,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  No official sources confirmed the shocking statement published online.,1
63,Stock market reaches new highs,Internet Rumors,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
64,Scientists discover medical breakthrough,Fake Media,"verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  The report highlighted improvements in efficiency, security, and accessibility.",0
65,Scientists discover medical breakthrough,Unknown Blogger,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
66,Secret city found under ocean,Health Desk,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  A viral post claimed the event happened without providing any evidence.,1
67,Man travels through time,Anjali Mehta,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Experts dismissed the rumors as misinformation and fake news.,1
68,Education reforms introduced nationwide,Vikas Singh,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
69,Man travels through time,Health Desk,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Several users shared manipulated images related to the false report.,1
70,Aliens found on Earth secretly,Fake Media,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Several users shared manipulated images related to the false report.,1
71,Miracle cure discovered overnight,Health Desk,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Experts dismissed the rumors as misinformation and fake news.,1
72,Man travels through time,Anjali Mehta,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  The story spread quickly online despite fact-checkers denying the claims.,1
73,Man travels through time,Internet Rumors,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  The story spread quickly online despite fact-checkers denying the claims.,1
74,Miracle cure discovered overnight,Health Desk,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Several users shared manipulated images related to the false report.,1
75,Secret city found under ocean,,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Experts dismissed the rumors as misinformation and fake news.,1
76,Chocolate gives superpowers,Anjali Mehta,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  No official sources confirmed the shocking statement published online.,1
77,New technology improves healthcare,Tech Reporter,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
78,Education reforms introduced nationwide,Unknown Blogger,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
79,Education reforms introduced nationwide,Health Desk,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
80,Chocolate gives superpowers,Health Desk,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  The story spread quickly online despite fact-checkers denying the claims.,1
81,Government announces new policy,Unknown Blogger,"verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  The report highlighted improvements in efficiency, security, and accessibility.",0
82,Chocolate gives superpowers,Vikas Singh,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  A viral post claimed the event happened without providing any evidence.,1
83,Government announces new policy,Unknown Blogger,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
84,Scientists discover medical breakthrough,Tech Reporter,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
85,Stock market reaches new highs,Rohit Sharma,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
86,Stock market reaches new highs,Anjali Mehta,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
87,Miracle cure discovered overnight,Unknown Blogger,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Experts dismissed the rumors as misinformation and fake news.,1
88,Education reforms introduced nationwide,Health Desk,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
89,Chocolate gives superpowers,Vikas Singh,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  No official sources confirmed the shocking statement published online.,1
90,Chocolate gives superpowers,Rohit Sharma,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Several users shared manipulated images related to the false report.,1
91,Secret city found under ocean,Rohit Sharma,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  The story spread quickly online despite fact-checkers denying the claims.,1
92,Stock market reaches new highs,Anjali Mehta,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
93,Secret city found under ocean,Internet Rumors,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Experts dismissed the rumors as misinformation and fake news.,1
94,Stock market reaches new highs,Unknown Blogger,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
95,Government announces new policy,Tech Reporter,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Researchers published findings after successful experiments and peer review.,0
96,Aliens found on Earth secretly,Fake Media,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  A viral post claimed the event happened without providing any evidence.,1
97,Aliens found on Earth secretly,Vikas Singh,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Several users shared manipulated images related to the false report.,1
98,Education reforms introduced nationwide,Fake Media,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
99,Government announces new policy,Rohit Sharma,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
100,Man travels through time,Internet Rumors,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Experts dismissed the rumors as misinformation and fake news.,1
101,Stock market reaches new highs,Tech Reporter,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
102,Secret city found under ocean,Vikas Singh,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  A viral post claimed the event happened without providing any evidence.,1
103,Stock market reaches new highs,Anjali Mehta,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
104,Miracle cure discovered overnight,Tech Reporter,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  A viral post claimed the event happened without providing any evidence.,1
105,Education reforms introduced nationwide,Anjali Mehta,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Officials confirmed the announcement after several meetings and public discussions.,0
106,Secret city found under ocean,Internet Rumors,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Several users shared manipulated images related to the false report.,1
107,New technology improves healthcare,Rohit Sharma,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Authorities stated that the project would continue in the coming months.,0
108,Man travels through time,Fake Media,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  A viral post claimed the event happened without providing any evidence.,1
109,Scientists discover medical breakthrough,Health Desk,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
110,Miracle cure discovered overnight,,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  No official sources confirmed the shocking statement published online.,1
111,Education reforms introduced nationwide,Anjali Mehta,verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual verified authentic official confirmed factual  Experts believe the changes may positively affect economic growth and employment.,0
112,Man travels through time,Fake Media,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  Several users shared manipulated images related to the false report.,1
113,Man travels through time,Unknown Blogger,fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading fake rumor hoax conspiracy fabricated misleading  A viral post claimed the event happened without providing any evidence.,1
